time_local;userid;lat;lon
25.2.2012 3:17;user1;37.7706565;-122.4359785
23.2.2012 23:01;user1;37.7706565;-122.4359785
23.2.2012 22:51;user1;37.7706565;-122.4359785
29.3.2011 22:37;user1;41.882311;-87.637317
29.3.2011 22:19;user1;41.898719;-87.623971
29.3.2011 17:20;user1;41.88397349;-87.63732682
18.3.2011 1:51;user1;30.267593;-97.740823
16.3.2011 20:11;user1;30.26399717;-97.73304462
14.3.2011 22:57;user1;30.2663138;-97.73749173
14.3.2011 22:04;user1;30.2626257;-97.73999691
14.3.2011 22:04;user1;30.2626257;-97.73999691
14.3.2011 5:13;user1;30.26678639;-97.75218487
13.3.2011 21:20;user1;30.269483;-97.736167
7.3.2011 23:51;user1;37.787305;-122.398037
13.3.2011 4:54;user1;30.2645161;-97.74141312
1.3.2011 3:17;user1;30.26610994;-97.74593532
20.2.2011 16:33;user1;-34.6012166;-58.3824007
19.2.2011 21:55;user1;-34.588129;-58.425477
19.2.2011 21:23;user1;-34.60368262;-58.41089487
19.2.2011 16:05;user1;-34.60368262;-58.41089487
19.2.2011 15:53;user1;-34.60368262;-58.41089487
18.2.2011 22:48;user1;-34.55695897;-58.41400892
18.2.2011 19:17;user1;-33.39687316;-70.79388142
17.2.2011 19:44;user1;-33.327249;-71.385175
16.2.2011 23:30;user1;-33.3946676;-70.5993993
15.2.2011 22:08;user1;-33.41496496;-70.58844566
15.2.2011 20:30;user1;-33.41409;-70.59849
15.2.2011 19:24;user1;-33.41601;-70.59532
14.2.2011 13:39;user1;-33.374239;-71.291127
12.2.2011 13:51;user1;-33.39687316;-70.79388142
11.2.2011 21:29;user1;37.61640706;-122.38623619
10.2.2011 20:55;user1;37.80362;-122.399777
1.2.2011 1:18;user1;38.492578;-122.742337
16.1.2011 4:12;user1;37.78045006;-122.3935318
2.1.2011 21:35;user1;37.800706;-122.438854
1.1.2011 5:36;user1;37.7887;-122.398
22.12.2010 20:46;user1;37.7958;-122.402
27.11.2010 1:18;user1;35.5776689;-120.7379245
11.11.2010 6:28;user1;37.800727;-122.438683
6.11.2010 17:11;user1;37.80046668;-122.4390009
5.11.2010 4:00;user1;37.795197;-122.415143
3.11.2010 17:51;user1;37.78896318;-122.40211487
18.9.2010 19:06;user1;49.2747607;-123.1228824
15.9.2010 4:50;user1;49.276602;-123.125374
17.5.2012 2:12;user1;37.79978122;-122.43807793
25.10.2013 11:44;user1;25.25042128;55.35785437
27.6.2013 4:23;user1;37.76713379;-122.42862812
4.10.2011 3:16;user1;37.76720345;-122.428552
12.6.2011 6:28;user1;37.7468;-122.419
30.3.2011 0:42;user1;41.8923476;-87.6268018
3.4.2015 1:50;user1;37.8000997;-122.43871361
21.4.2011 19:31;user1;37.78967071;-122.40150413
10.4.2011 6:10;user1;37.79990796;-122.43866883
23.12.2010 10:24;user1;37.80004;-122.439146
30.11.2013 23:52;user1;35.57695609;-120.79330799
31.8.2012 19:50;user1;38.56421113;-122.87291
23.2.2015 16:44;user1;37.79996706;-122.43851225
23.6.2011 3:33;user1;37.787104;-122.397421
13.1.2017 18:12;user1;47.599218;-122.333634
16.9.2016 21:06;user1;37.78686273;-122.40676535
12.6.2011 3:58;user1;37.79987695;-122.43855804
15.5.2014 4:50;user1;37.80093897;-122.44354158
15.5.2014 3:42;user1;37.7902537;-122.40730822
14.8.2014 1:25;user1;37.77549598;-122.41321529
